Name                                     Stmts   Miss  Cover
------------------------------------------------------------
src/__init__.py                              3      0   100%
src/book_editor/__init__.py                  1      0   100%
src/book_editor/app/__init__.py              1      0   100%
src/book_editor/app/config/__init__.py       0      0   100%
src/book_editor/app/config/settings.py      11      0   100%
src/book_editor/app/core/__init__.py         0      0   100%
src/book_editor/app/core/editor.py         231     75    68%
src/book_editor/config/__init__.py           0      0   100%
src/book_editor/config/settings.py          22      0   100%
src/book_editor/core/__init__.py             3      0   100%
src/book_editor/core/editor.py             156      5    97%
src/book_editor/core/template.py           107      3    97%
src/book_editor/main.py                    146     63    57%
src/book_editor/types.py                    33      0   100%
src/components/__init__.py                   0      0   100%
src/components/editor.py                    72      0   100%
src/components/text_editor.py               47      1    98%
src/data/__init__.py                         0      0   100%
src/data/storage.py                         48      0   100%
src/models/__init__.py                       0      0   100%
src/models/book.py                          59      3    95%
tests/__init__.py                            0      0   100%
tests/test_app_config.py                    46      0   100%
tests/test_app_core.py                     106      0   100%
tests/test_app_core_editor.py               73      2    97%
tests/test_book.py                          70      0   100%
tests/test_components.py                    36      0   100%
tests/test_core_editor.py                  162      3    98%
tests/test_core_editor_extended.py          86      0   100%
tests/test_editor.py                       119      0   100%
tests/test_main.py                          97     13    87%
tests/test_settings.py                      46      0   100%
tests/test_storage.py                       60      0   100%
tests/test_template.py                      76      0   100%
tests/test_text_editor_extended.py          84      0   100%
------------------------------------------------------------
TOTAL                                     2001    168    92%
